account_code,description,reference,remarks,credit,debit,posting_date
401002,PRLV SEPA SARL FOURNIER BTP,,PRLV SEPA CPY:FR87048462 RUM:FR87048462 NBE:SARL FOURNIER BTP<br />LIB:REGLEMENT FACTURE,0,4106.11,2024-12-31
401001,PRLV SEPA EURL GAUTHIER LOGISTIQ,,PRLV SEPA NBE:EURL GAUTHIER LOGISTIQUE<br />LIB:REGLEMENT ACHAT,0,4967.41,2024-11-27
606300,CB MAIF,,,0,12.87,2024-07-06
445660,CB MAIF,,,0,2.58,2024-07-06
512100,VIR INTERNE,,,0,96081.66,2024-02-26
512000,REMISE CHEQUE,,,7257.50,0,2025-07-25
613200,PRLV SEPA SARL ANDRE,REF637022,,0,2134.82,2024-11-01
445660,PRLV SEPA SARL ANDRE,REF637022,,0,426.97,2024-11-01
668000,FRAIS FINANCIERS,,,0,348.90,2025-02-20
218000,CB EURL BERNARD,REF430802,,0,7414.22,2024-11-16
445620,CB EURL BERNARD,REF430802,,0,1482.85,2024-11-16
411004,VIREMENT RECU SA NOEL IMPRIMERIE,,,29400.00,0,2025-08-30
211000,VIR SEPA SARL GAUTIER,,,0,160768.23,2025-09-20
512000,REMISE CHEQUE,,,10644.34,0,2025-10-30
622000,VIR SEPA EURL MERCIER,,,0,2055.32,2024-12-26
445660,VIR SEPA EURL MERCIER,,,0,411.07,2024-12-26
514000,REMISE CHEQUE,,,4822.94,0,2024-10-25
404000,VIR SEPA SARL ANDRE,,,0,40059.22,2024-07-10
411001,VIR RECU SCI HENRY SECURITE,,,23010.85,0,2024-12-28
437000,PRLVT SEPA POLE EMPLOI,,PRLV SEPA NBE:FRANCE TRAVAIL<br />LIB:COTISATIONS CHOMAGE T1,0,2551.60,2025-02-10
626000,PRLV SEPA SAS GIRARD,,PRLV SEPA NBE:SAS GIRARD<br />LIB:TELECOMMUNICATIONS,0,199.58,2024-07-23
611000,PRLV SEPA SAS FAURE,,,0,12487.96,2024-04-02
445660,PRLV SEPA SAS FAURE,,,0,2497.59,2024-04-02
622000,VIR SA FOURNIER,,VIR SEPA NPY:SA FOURNIER<br />LIB:HONORAIRES COMPTABLES,0,3000.00,2024-12-19
445660,VIR SA FOURNIER,,VIR SEPA NPY:SA FOURNIER<br />LIB:HONORAIRES COMPTABLES,0,600.00,2024-12-19
403000,VIR SEPA SA GROUPE LEGRAND,,VIR SEPA NPY:SA GROUPE LEGRAND<br />LIB:EFFETS A PAYER,0,21550.00,2025-01-30
213100,VIREMENT SEPA SARL GAUTIER,,,0,146180.00,2024-03-25
707000,VIR RECU SAS TECHNOLOGY PLUS,,,4500.00,0,2024-06-30
606100,PRLVT SEPA CABINET EXPERTISE COM,,,0,383.37,2025-01-04
445660,PRLVT SEPA CABINET EXPERTISE COM,,,0,76.67,2025-01-04
421000,VIR SEPA SALAIRE MARS,,,0,2061.60,2025-03-29
631000,PRLV SEPA DGFIP,,,0,5000.00,2025-12-26
708000,VIREMENT RECU SARL TRANSPORT EXP,,,2177.92,0,2024-10-30
411003,VIREMENT RECU SARL GIRARD BTP,REF946097,,42838.94,0,2025-01-04
631000,PRLV SEPA DGFIP,,,0,2646.02,2025-09-27
641000,VIR SEPA SALAIRE SEPTEMBRE,,VIR SEPA<br />LIB:SALAIRE SEPTEMBRE 2025,0,3683.56,2025-09-28
706000,VIR RECU SA GROUPE LEGRAND,,,10575.56,0,2025-09-24
606300,CB SAS MOREAU,REF373002,CB SAS MOREAU<br />LIB:PETIT EQUIPEMENT,0,566.31,2024-08-28
445660,CB SAS MOREAU,REF373002,CB SAS MOREAU<br />LIB:PETIT EQUIPEMENT,0,113.26,2024-08-28
512000,FRAIS BANCAIRES,,,0,14.95,2025-04-16
401003,PRELEVEMENT SEPA SARL GIRARD SEC,REF688337,,0,1316.24,2024-03-20
621000,PRLV SEPA SAS DUPONT,,,0,5722.54,2024-08-28
445660,PRLV SEPA SAS DUPONT,,,0,1144.51,2024-08-28
411007,VIREMENT RECU SARL GARCIA DISTRI,,,19481.76,0,2025-03-28
625200,CB SAS MOREAU,,,0,244.20,2024-05-26
445660,CB SAS MOREAU,,,0,48.84,2024-05-26
602000,CB SA LEFEVRE,,,0,5210.66,2025-12-01
445660,CB SA LEFEVRE,,,0,1042.13,2025-12-01
681000,DOTATION AMORTISSEMENT,,,0,7334.10,2025-12-21
708000,VIR RECU SARL MODE TEXTILE,,,2200.00,0,2024-01-02
623000,CB SAS MOREAU,,CB SAS MOREAU<br />LIB:PUBLICITE ANNONCES,0,474.92,2025-05-05
445660,CB SAS MOREAU,,CB SAS MOREAU<br />LIB:PUBLICITE ANNONCES,0,94.99,2025-05-05
625100,CARTE EURL BERNARD,,,0,596.72,2024-05-27
445660,CARTE EURL BERNARD,,,0,119.34,2024-05-27
633000,PRLV SEPA DGFIP,,,0,1917.49,2024-10-30
401005,VIR SEPA SCI GUERIN IMPRIMERIE,REF219908,,0,7500.14,2024-09-18
403000,VIREMENT SEPA SARL BONNET,,,0,5500.00,2024-12-01
213100,VIR SEPA SARL MARTIN,,,0,92148.50,2024-07-28
437000,PRLV SEPA POLE EMPLOI,,,0,3900.00,2024-01-11
707000,VIR RECU SAS DIGITAL SERVICES,,VIR SEPA NPY:SAS DIGITAL SERVICES<br />LIB:VENTE MARCHANDISES FAC2025289,21986.08,0,2024-03-29
445710,VI RECU DGFIP,,,6371.94,0,2025-10-23
661000,INTERETS EMPRUNT,,,0,1542.94,2025-05-28
641000,VIR SEPA SALAIRE MAI,,,0,2158.63,2024-05-31
708000,VIR RECU SARL COMMERCE DU SUD,,,1264.76,0,2025-11-28
706000,VIR RECU SA GROUPE LEGRAND,REF241627,,1856.16,0,2025-08-25
512100,VIR INTERNE,,,0,51864.68,2024-10-22
708000,VIR RECU SA GROUPE LEGRAND,,,3346.28,0,2025-01-29
401005,VIR SEPA SCI GUERIN IMPRIMERIE,,,0,18606.27,2025-03-17
631000,PRLVT SEPA DGFIP,,PRLV SEPA NBE:DGFIP<br />LIB:TAXE APPRENTISSAGE 2025,0,3504.93,2025-12-08
601100,PRLV SEPA SA GROUPE LEGRAND,,,0,3190.07,2025-06-30
445660,PRLV SEPA SA GROUPE LEGRAND,,,0,638.01,2025-06-30
645100,PRELEVEMENT SEPA MUTUELLE,,,0,976.03,2025-07-09
411001,VIR RECU SCI HENRY SECURITE,,,2999.89,0,2024-10-28
706000,VIR RECU EURL DESIGN STUDIO,,,9293.54,0,2025-06-30
213100,VIR SEPA SAS FAURE,,,0,15742.09,2024-05-27
707000,VIREMENT RECU SARL TRANSPORT EXP,,,21281.95,0,2024-08-31
401006,VIR SEPA SAS ROBIN SECURITE,,,0,6049.13,2025-04-26
606100,PRLV SEPA SAS MOREAU,,PRLV SEPA NBE:SAS MOREAU<br />LIB:EAU ELECTRICITE,0,466.67,2025-03-21
445660,PRLV SEPA SAS MOREAU,,PRLV SEPA NBE:SAS MOREAU<br />LIB:EAU ELECTRICITE,0,93.33,2025-03-21
512000,VIR INTERNE,REF619018,,0,16825.82,2025-01-28
635000,PRLV SEPA DGFIP,,,0,3787.60,2024-12-30
408000,FACTURE NON PARVENUE EURL BERNAR,,,0,750.00,2025-03-28
637000,PRELEVEMENT SEPA DGFIP,,PRLV SEPA NBE:DGFIP<br />LIB:TAXE SUR SALAIRES T2,0,2310.70,2024-05-22
606100,PRELEVEMENT SEPA SAS MOREAU,,,0,434.64,2024-08-03
445660,PRELEVEMENT SEPA SAS MOREAU,,,0,86.93,2024-08-03
401001,PRLV SEPA EURL GAUTHIER LOGISTIQ,REF131824,,0,2000.00,2024-05-27
601100,PAIEMENT CB EDF,,,0,1285.27,2025-06-03
445660,PAIEMENT CB EDF,,,0,257.06,2025-06-03
401002,VIREMENT SEPA SARL FOURNIER BTP,,,0,2911.93,2025-06-30
411004,VIR RECU SA NOEL IMPRIMERIE,,VIR SEPA NPY:SA NOEL IMPRIMERIE IBE:FR8129201921818324290922311 BIC:SOGEFRPP PDO:FR RCN:FAC2024764<br />LIB:REGLEMENT FACTURE FAC2024764,11400.00,0,2024-09-28
512000,REMISE CHEQUE,,,11473.26,0,2025-11-19
624000,CB CABINET EXPERTISE COMPTABLE,,CB CABINET EXPERTISE COMPTABLE<br />LIB:TRANSPORT LIVRAISON,0,282.21,2025-04-30
445660,CB CABINET EXPERTISE COMPTABLE,,CB CABINET EXPERTISE COMPTABLE<br />LIB:TRANSPORT LIVRAISON,0,56.44,2025-04-30
401003,VIR SEPA SARL GIRARD SECURITE,,VIR SEPA REF:FR11502354 NPY:SARL GIRARD SECURITE<br />LIB:ACOMPTE FOURNISSEUR,0,8017.98,2024-10-28
486000,CHARGE CONSTATEE AVANCE,,LIB:CHARGE CONSTATEE D AVANCE DECEMBRE 2024,0,2378.69,2024-12-31
708000,VIR RECU SAS ECO ENERGIE,,,1185.69,0,2024-05-03
621000,PRLVT SEPA SARL MARTIN,REF885242,,0,1615.68,2024-03-13
445660,PRLVT SEPA SARL MARTIN,REF885242,,0,323.14,2024-03-13
514000,REMISE CHEQUE,REF298045,REMISE CHQ N 515449,14696.01,0,2025-05-11
601100,CB MAIF,,CB MAIF<br />LIB:ACHAT MARCHANDISES,0,1748.80,2025-11-17
445660,CB MAIF,,CB MAIF<br />LIB:ACHAT MARCHANDISES,0,349.76,2025-11-17
621000,PRLV SEPA SAS DUPONT,REF107312,,0,5208.33,2024-12-28
445660,PRLV SEPA SAS DUPONT,REF107312,,0,1041.67,2024-12-28
512000,FRAIS BANCAIRES,,FRAIS BANCAIRES<br />LIB:FRAIS DE GESTION FEVRIER,0,72.74,2024-02-28
631000,PRLV SEPADGFIP,REF409253,,0,2029.42,2025-07-17
401009,PRLV SEPA EURL MERCIER IMMOBILIE,,,0,3250.00,2025-09-26
681000,DOTATION AMORTISSEMENT,REF353536,,0,15000.00,2025-12-26
641000,VIR SPA SALAIRE AOUT,,VIR SEPA<br />LIB:REMUNERATION AOUT,0,3625.02,2024-08-30
781000,REPRISE AMORTISSEMENT,,,2416.99,0,2025-12-24
401009,VIR SEPA EURL MERCIER IMMOBILIER,,,0,9155.25,2024-05-25
411011,VIR RECU SAS MARIE RESTAURATION,,,7087.02,0,2024-04-02
706000,VIR RECU SAS DIGITAL SERVICES,,VIR SEPA NPY:SAS DIGITAL SERVICES<br />LIB:PRESTATIONS SERVICES FAC2025269,17402.61,0,2024-02-15
641000,VIR SEPA SALAIRE NOVEMBRE,,VIR SEPA<br />LIB:SALAIRE NOVEMBRE 2025,0,3543.32,2025-11-27
401001,VIREMENT SEPA EURL GAUTHIER LOGI,,,0,9227.49,2025-02-27
512000,VIR INTERNE,,,0,23153.52,2024-02-26
708000,VIR RECU SARL TRANSPORT EXPRESS,,VIR SEPA NPY:SARL TRANSPORT EXPRESS<br />LIB:PRODUITS ACTIVITES ANNEXES,260.20,0,2024-02-13
213100,VIR SARL MARTIN,,,0,64125.36,2025-11-30
622000,VIR SEPA SAS DUVAL,REF687762,VIR SEPA NPY:SAS DUVAL<br />LIB:HONORAIRES COMPTABLES,0,2404.67,2024-01-27
445660,VIR SEPA SAS DUVAL,REF687762,VIR SEPA NPY:SAS DUVAL<br />LIB:HONORAIRES COMPTABLES,0,480.93,2024-01-27
613200,PRLVT SEPA SARL BONNET,,,0,4015.14,2024-09-03
445660,PRLVT SEPA SARL BONNET,,,0,803.03,2024-09-03
411010,VIR RECU SAS LEGRAND CONSEIL,,VIR SEPA NPY:SAS LEGRAND CONSEIL IBE:FR3051767252833708190881010 BIC:SOGEFRPP PDO:FR RCN:FAC2025522<br />LIB:REGLEMENT FACTURE FAC2025522,44500.00,0,2024-10-20
401004,VIR SEPA SAS GARCIA INDUSTRIE,REF537951,,0,12909.39,2025-04-27
621000,PRLV SEPA EURL BERNARD,,,0,8122.26,2025-06-27
445660,PRLV SEPA EURL BERNARD,,,0,1624.45,2025-06-27
471000,OPERATION ATTENTE,,LIB:OPERATION EN ATTENTE REF:FR25386245,0,4170.26,2025-02-28
646000,PRLV SEPA POLE EMPLOI,,,0,750.00,2025-02-12
623000,PAIEMENT CB SAS DUPONT,,,0,3604.15,2025-10-29
445660,PAIEMENT CB SAS DUPONT,,,0,720.83,2025-10-29
708000,VIR RECU SARL TRANSPORT EXPRESS,,,1980.21,0,2024-11-05
708000,VIR RECU SARL COMMERCE DU SUD,,,1511.50,0,2025-12-25
421000,VIR SEPA SALAIRE JUILLET,,VIR SEPA<br />LIB:SALAIRE JUILLET 2024,0,2700.00,2024-07-27
741000,VIR RECU SUBVENTION,,,9093.22,0,2024-10-28
707000,VIR RECU SA CHIMIE FRANCE,,,16456.10,0,2024-09-10
411010,VIREMENT RECU SAS LEGRAND CONSEI,,,46000.00,0,2024-05-25
707000,VIR RECU SA CHIMIE FRANCE,REF314396,,500.00,0,2024-08-25
205000,VIR SEPA SARL ANRE,,,0,18240.04,2025-12-06
606100,PRELEVEMENT SEPA SA FOURNIER,,,0,300.17,2025-12-25
445660,PRELEVEMENT SEPA SA FOURNIER,,,0,60.04,2025-12-25
411003,VIR RECU SARL GIRARD BTP,,,15550.04,0,2025-12-29
401003,VIR SEPA SARL GIRARD SECURITE,,,0,4431.50,2025-04-28
218000,VIR SEPA SAS DUPONT,,,0,2213.77,2025-06-28
445620,VIR SEPA SAS DUPONT,,,0,442.75,2025-06-28
626000,PRELEVEMENT SEPA EURL BERNARD,,PRLV SEPA NBE:EURL BERNARD<br />LIB:TELECOMMUNICATIONS,0,151.56,2025-02-27
164000,PRLV SEPA ECHEANCE EMPRUNT,,PRLV SEPA<br />LIB:ECHEANCE EMPRUNT FR58721761,0,4088.38,2025-09-04
661100,PRLV SEPA ECHEANCE EMPRUNT,,PRLV SEPA<br />LIB:ECHEANCE EMPRUNT FR58721761,0,919.89,2025-09-04
